Designator,Val,Footprint,,,,
,,,,,,
,,,,,,
C1,1nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,,,,
C2,1nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,,,,
C4,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,,,,
C5,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,,,,
C6,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,,,,
C10,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,,,,
D1,PDZ36B,D_SOD-323_HandSoldering,,,,
D2,PDZ36B,D_SOD-323_HandSoldering,,,,
D3,PDZ36B,D_SOD-323_HandSoldering,,,,
D4,PDZ36B,D_SOD-323_HandSoldering,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
R15,20K,R_0805_2012Metric,,,,
R16,20K,R_0805_2012Metric,,,,
R17,20K,R_0805_2012Metric,,,,
R18,20K,R_0805_2012Metric,,,,
R19,510,R_0805_2012Metric,,,,
R20,1K,R_0805_2012Metric,,,,
R21,510,R_0805_2012Metric,,,,
,,,,,,
,,,,,,
R24,1K,R_0805_2012Metric,,,,
R25,1K,R_0805_2012Metric,,,,
R26,1K,R_0805_2012Metric,,,,
R27,1K,R_0805_2012Metric,,,,
R28,1K,R_0805_2012Metric,,,,
,,,,,,
R30,1K,R_0805_2012Metric,,,,
R31,1K,R_0805_2012Metric,,,,
R32,1K,R_0805_2012Metric,,,,
R33,1K,R_0805_2012Metric,,,,
R34,1K,R_0805_2012Metric,,,,
R35,20K,R_0805_2012Metric,,,,
R36,20K,R_0805_2012Metric,,,,
R37,1K,R_0805_2012Metric,,,,
R38,0,R_0805_2012Metric,,,,
R39,0,R_0805_2012Metric,,,,
,,,,,,
R40,2.2k,R_0805_2012Metric,,,,
R41,2.2k,R_0805_2012Metric,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
U7,REF3030,SOT-23,,,,
